Position,Track Name,Artist,Streams,URL,Week Start Date,Week End Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,9212016,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2016-12-30,2017-01-06,0.061,Culture,0.927,343150,0.665,True,https://i.scdn.co/image/4047ff295bb33fc7b24cac467764e014b4803e11,0.0,11,0.123,-5.313,1,78,0.244,127.076,4,0.175
2,Fake Love,Drake,8402709,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2016-12-30,2017-01-06,0.108,More Life,0.927,210937,0.488,True,https://i.scdn.co/image/3acc34a1f6b494f2a00ff916c54d6bc63fb7b0dc,0.0,9,0.196,-9.433,0,76,0.42,133.987,4,0.605
3,Starboy,The Weeknd,7634586,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2016-12-30,2017-01-06,0.165,Starboy,0.681,230453,0.594,True,https://i.scdn.co/image/4816c45ce6ef1e45df6a84784d2123595f787182,3.49e-06,7,0.134,-7.028,1,25,0.282,186.054,4,0.535
4,Closer,The Chainsmokers,6384465,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2016-12-30,2017-01-06,0.414,Closer,0.748,244960,0.524,False,https://i.scdn.co/image/2e244b9284d317b2019bb9fd44d9a086210d4974,0.0,8,0.111,-5.599,1,85,0.0338,95.01,4,0.661
5,Black Beatles,Rae Sremmurd,5745384,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2016-12-30,2017-01-06,0.142,SremmLife 2 (Deluxe),0.794,291893,0.632,True,https://i.scdn.co/image/12c1c42e0e98e23efe7cb529791d7c4921727640,0.0,0,0.128,-6.163,1,77,0.0649,145.926,4,0.355
6,Caroline,Aminé,4992851,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g,2016-12-30,2017-01-06,0.303,Caroline,0.945,209747,0.394,True,https://i.scdn.co/image/cfcc71b4f13aebccd08e2caf31d8a1245ea1c557,0.0,10,0.131,-8.571,1,8,0.492,120.058,4,0.743
7,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4874178,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2016-12-30,2017-01-06,0.0631,I Don’t Wanna Live Forever (Fifty Shades Darker),0.735,245200,0.451,False,https://i.scdn.co/image/c41dad509e3c255ad494b1b327ae977d7e84a1ed,1.3e-05,0,0.325,-8.374,1,29,0.0585,117.973,4,0.0862
8,Bounce Back,Big Sean,4818172,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,2016-12-30,2017-01-06,0.105,I Decided.,0.77,222360,0.567,True,https://i.scdn.co/image/d2fdf6b4ea3ea023509ec858ceafdbbf20c67611,0.0,2,0.125,-5.698,1,78,0.175,81.477,4,0.26
9,Bad Things (with Camila Cabello),Machine Gun Kelly,4805096,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2016-12-30,2017-01-06,0.214,bloom,0.697,239293,0.691,False,https://i.scdn.co/image/195fe1ffeb48aaa6f06e9095fdcb400053252cf2,0.0,2,0.185,-4.757,1,74,0.146,137.853,4,0.305
10,I Feel It Coming,The Weeknd,4586635,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2016-12-30,2017-01-06,0.426,Starboy,0.773,269187,0.819,False,https://i.scdn.co/image/95820482c78fe1d7513d0adbca758764a0fb75b4,0.0,0,0.0679,-5.946,0,70,0.118,92.99,4,0.585
11,Broccoli (feat. Lil Yachty),DRAM,4558327,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,2016-12-30,2017-01-06,0.236,Big Baby DRAM,0.886,225205,0.525,True,https://i.scdn.co/image/fef5f97d2ba8286606de081d6c9608301a30b072,0.0,8,0.057,-7.39,1,71,0.131,145.99,4,0.708
12,Let Me Love You,DJ Snake,4152387,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2016-12-30,2017-01-06,0.0784,Encore,0.476,205947,0.718,False,https://i.scdn.co/image/2d331cdb83a9ee9aab5be493b619983d7c332082,1.02e-05,8,0.122,-5.309,1,30,0.0576,199.864,4,0.142
13,One Dance,Drake,4042672,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2016-12-30,2017-01-06,0.00784,Views,0.791,173987,0.619,False,https://i.scdn.co/image/b48b1b7e56f424818f2e8df537c3b692740f100b,0.00423,1,0.351,-5.886,1,28,0.0532,103.989,4,0.371
14,24K Magic,Bruno Mars,3828278,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2016-12-30,2017-01-06,0.034,24K Magic,0.818,225983,0.803,False,https://i.scdn.co/image/63ddbd647a5a4e672da6b6eb29cfc38c985bffca,0.0,1,0.153,-4.282,1,79,0.0797,106.97,4,0.632
15,Don't Wanna Know,Maroon 5,3797163,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2016-12-30,2017-01-06,0.338,Don't Wanna Know,0.783,214480,0.623,False,https://i.scdn.co/image/d266d91209bc024b2b16b3a508b2f8ad8de52cfa,0.0,7,0.0975,-6.126,1,21,0.08,100.048,4,0.447
16,Deja Vu,J. Cole,3777536,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,2016-12-30,2017-01-06,0.361,4 Your Eyez Only,0.653,264747,0.409,True,https://i.scdn.co/image/d7d9fbf6929b5b1248e73649ea1ac832b576d5bc,0.00012,9,0.189,-11.446,1,71,0.421,174.324,4,0.187
17,X (feat. Future),21 Savage,3751877,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,2016-12-30,2017-01-06,0.373,Savage Mode,0.835,258880,0.413,True,https://i.scdn.co/image/dda15fbed5486d5e7399ae46a6963ab94bc9d3f0,0.00133,1,0.101,-9.81,1,75,0.396,149.004,4,0.111
18,Starving,Hailee Steinfeld,3465749,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2016-12-30,2017-01-06,0.371,HAIZ,0.636,181880,0.633,True,https://i.scdn.co/image/90aefb3e3359ae24144d0c6290f487b19b80448d,0.0,4,0.102,-4.23,1,4,0.126,99.721,4,0.512
19,Chill Bill,Rob $tone,3464585,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,2016-12-30,2017-01-06,0.0312,Chill Bill,0.886,177184,0.427,True,https://i.scdn.co/image/5b900b93c1e18a5fca555f6c4b6b75a59c4f74cc,0.00099,6,0.0906,-10.028,1,78,0.145,108.034,4,0.23
20,In the Name of Love,Martin Garrix,3432821,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2016-12-30,2017-01-06,0.0592,The Martin Garrix Collection,0.49,195840,0.485,False,https://i.scdn.co/image/0625ad43cc5f1a3728e6b1cfe1b0bb449a2220ef,0.0,4,0.337,-6.237,0,35,0.0406,133.889,4,0.196
21,Say You Won't Let Go,James Arthur,3358134,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2016-12-30,2017-01-06,0.695,Back from the Edge,0.358,211467,0.557,False,https://i.scdn.co/image/c8637be962e25fe28fc53d9f6d6896b60589aeff,0.0,10,0.0902,-7.398,1,83,0.059,85.043,4,0.494
22,Party Monster,The Weeknd,3341933,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,2016-12-30,2017-01-06,0.188,Starboy,0.572,249213,0.631,True,https://i.scdn.co/image/387c963be76db261c25a1811546ac802ebc8f67c,2.31e-05,1,0.259,-8.389,1,73,0.104,77.519,4,0.219
23,No Heart,21 Savage,3265130,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,2016-12-30,2017-01-06,0.136,Savage Mode,0.906,235040,0.444,True,https://i.scdn.co/image/dda15fbed5486d5e7399ae46a6963ab94bc9d3f0,6.44e-05,4,0.173,-8.692,0,73,0.384,140.063,4,0.678
24,Side To Side,Ariana Grande,3222416,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2016-12-30,2017-01-06,0.0408,Dangerous Woman,0.648,226160,0.738,True,https://i.scdn.co/image/e1446c8c042e41cb12215d7746294b974133a001,0.0,6,0.292,-5.883,0,27,0.247,159.145,4,0.603
25,Sneakin’,Drake,3046339,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,2016-12-30,2017-01-06,0.00479,Sneakin’,0.804,251333,0.56,True,https://i.scdn.co/image/177939e6656bd0ae46d12e1f36e9162016d28a3c,0.0,8,0.164,-6.682,1,38,0.185,85.023,4,0.272
26,Heathens,Twenty One Pilots,3019029,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2016-12-30,2017-01-06,0.0841,Heathens,0.732,195920,0.396,False,https://i.scdn.co/image/6dba586fa6a4ade90ba58ff9346162d1e0d9fcf4,3.58e-05,4,0.105,-9.348,0,80,0.0286,90.024,4,0.548
27,OOOUUU,Young M.A,2954985,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL,2016-12-30,2017-01-06,0.533,Herstory,0.635,234650,0.847,True,https://i.scdn.co/image/70aad974dfaffc69733fffc5b935472eb6d784f0,0.0,7,0.154,-3.152,1,61,0.447,166.072,4,0.568
28,iSpy (feat. Lil Yachty),KYLE,2951309,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,2016-12-30,2017-01-06,0.378,iSpy (feat. Lil Yachty),0.746,253107,0.653,True,https://i.scdn.co/image/f16a925a9d2ac7f03e1fcbc226b740af06d5d65b,0.0,7,0.229,-6.745,1,76,0.289,75.016,4,0.672
29,All We Know,The Chainsmokers,2838884,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2016-12-30,2017-01-06,0.097,All We Know,0.662,194080,0.586,False,https://i.scdn.co/image/b67d30b8e4d3a00b2614cdab9aefd526babf6483,0.00272,0,0.115,-8.821,1,71,0.0307,90.0,4,0.296
30,You Was Right,Lil Uzi Vert,2803226,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,2016-12-30,2017-01-06,0.069,Lil Uzi Vert Vs. The World,0.843,163944,0.359,True,https://i.scdn.co/image/a1fe6524bf989f8ed488d73633d939f360a42d4a,0.0,0,0.12,-7.417,1,73,0.461,81.987,4,0.156
31,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,2762137,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,2016-12-30,2017-01-06,0.156,Coloring Book,0.652,304607,0.795,True,https://i.scdn.co/image/4df3b334d17428ba101ac867e6f97a0196af1635,0.0,11,0.123,-5.192,0,74,0.174,135.018,4,0.788
32,"How Far I'll Go - From ""Moana""",Alessia Cara,2747443,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2016-12-30,2017-01-06,0.157,"How Far I'll Go (From ""Moana"")",0.314,175517,0.555,False,https://i.scdn.co/image/36ac52a05ada24ba55fd49d70272afa5d7c0c16d,0.000108,9,0.067,-9.601,1,21,0.37,179.666,4,0.159
33,Scars To Your Beautiful,Alessia Cara,2713743,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2016-12-30,2017-01-06,0.0285,Know-It-All (Deluxe),0.573,230227,0.739,False,https://i.scdn.co/image/8ba083f8f23082a6254315d2327bda30c20214bc,0.0,0,0.111,-5.74,1,74,0.129,97.085,4,0.451
34,Mercy,Shawn Mendes,2703580,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2016-12-30,2017-01-06,0.137,Illuminate,0.469,208733,0.68,False,https://i.scdn.co/image/e1abe5fc92f7019c7b8c64f02c65cf6129f1c999,0.0,11,0.11,-4.921,0,0,0.117,147.734,4,0.374
35,Call On Me - Ryan Riback Extended Remix,Starley,2659113,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2016-12-30,2017-01-06,0.0604,Call On Me (Remixes),0.67,222041,0.838,False,https://i.scdn.co/image/8fff10f35594de8011c36c8f2e0c2fb20169c024,0.000611,0,0.159,-4.031,1,57,0.0362,104.998,4,0.717
