,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Wow.,"Post Malone",1833938,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
2,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1655392,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
3,"Going Bad (feat. Drake)","Meek Mill",1345691,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
4,"thank u, next","Ariana Grande",1328555,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
5,"SICKO MODE","Travis Scott",1306793,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1246482,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1173187,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
8,"Without Me",Halsey,1153627,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,"Mo Bamba","Sheck Wes",1119323,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
10,"a lot","21 Savage",912717,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
11,"Leave Me Alone","Flipp Dinero",890658,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
12,"Lucid Dreams","Juice WRLD",807149,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
13,monster,"21 Savage",805317,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
14,"Wake Up in the Sky","Gucci Mane",765971,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
15,imagine,"Ariana Grande",726692,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
16,"Look Back At It","A Boogie Wit da Hoodie",724737,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
17,SAD!,XXXTENTACION,715696,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",675990,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
19,"Better Now","Post Malone",672299,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,"whoa (mind in awe)",XXXTENTACION,668557,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
21,Money,"Cardi B",664648,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
22,Happier,Marshmello,648914,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,"all my friends","21 Savage",626583,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l
24,Moonlight,XXXTENTACION,617005,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
25,Better,Khalid,612479,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
26,"Saturday Nights",Khalid,607643,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
27,"Armed And Dangerous","Juice WRLD",601339,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
28,BAD!,XXXTENTACION,594994,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
29,Nonstop,Drake,593041,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
30,"when the party's over","Billie Eilish",590128,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
31,"MIA (feat. Drake)","Bad Bunny",572475,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
32,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,557871,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
33,"Eastside (with Halsey & Khalid)","benny blanco",557745,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
34,"High Hopes","Panic! At The Disco",534783,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
35,"Taste (feat. Offset)",Tyga,515640,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
36,"KIKA (feat. Tory Lanez)",6ix9ine,505836,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
37,"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine,497297,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
38,"I Like It","Cardi B",495572,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
39,"Jocelyn Flores",XXXTENTACION,494751,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
40,"Yes Indeed","Lil Baby",477853,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
41,"rockstar (feat. 21 Savage)","Post Malone",473487,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
42,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",471235,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
43,lovely,"Billie Eilish",470732,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
44,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",469178,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
45,"Psycho (feat. Ty Dolla $ign)","Post Malone",457932,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
46,"Demons and Angels (feat. Juice WRLD)","A Boogie Wit da Hoodie",456220,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
47,"I Fall Apart","Post Malone",455687,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
48,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",453568,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
49,YOSEMITE,"Travis Scott",448186,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
50,"Fine China",Future,439894,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
51,idontwannabeyouanymore,"Billie Eilish",436957,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
52,"God's Plan",Drake,433460,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
53,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",424524,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
54,Topanga,"Trippie Redd",421066,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
55,"Solo de Mi","Bad Bunny",419270,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
56,Splashin,"Rich The Kid",417321,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
57,"Calling My Spirit","Kodak Black",414524,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5
58,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,413674,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
59,"can't leave without it","21 Savage",409284,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd
60,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",406709,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
61,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",403135,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
62,"All Girls Are The Same","Juice WRLD",403086,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
63,"In My Feelings",Drake,392542,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
64,"Bad Liar","Imagine Dragons",390403,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
65,"Space Cadet (feat. Gunna)","Metro Boomin",387951,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
66,"10 Freaky Girls (with 21 Savage)","Metro Boomin",380718,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
