,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",1782417,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"Falling Down - Bonus Track","Lil Peep",1666684,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
3,"SICKO MODE","Travis Scott",1455005,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"New Patek","Lil Uzi Vert",1341698,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
5,"Lucid Dreams","Juice WRLD",1280823,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1232047,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
7,"Lucky You (feat. Joyner Lucas)",Eminem,1198792,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
8,"Mo Bamba","Sheck Wes",1087169,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
9,"In My Feelings",Drake,1042616,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
10,SAD!,XXXTENTACION,972669,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
11,Happier,Marshmello,968620,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
12,Nonstop,Drake,967424,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
13,Better,Khalid,937869,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
14,"Wake Up in the Sky","Gucci Mane",919470,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
15,Moonlight,XXXTENTACION,860181,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
16,"Taste (feat. Offset)",Tyga,834838,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
17,"Eastside (with Halsey & Khalid)","benny blanco",801836,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
18,"Better Now","Post Malone",798749,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
19,"Yes Indeed","Lil Baby",789908,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
20,"No Stylist","French Montana",781586,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
21,"Drip Too Hard","Lil Baby",733734,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
22,"I Like It","Cardi B",728543,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
23,Killshot,Eminem,714451,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
24,Noticed,"Lil Mosey",689626,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
25,STARGAZING,"Travis Scott",666768,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
26,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,647432,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
27,"Jocelyn Flores",XXXTENTACION,623075,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
28,Natural,"Imagine Dragons",599181,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
29,"Lean Wit Me","Juice WRLD",590608,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
30,"No Brainer","DJ Khaled",583527,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
31,"God's Plan",Drake,577069,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
