,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,3805533,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Stir Fry",Migos,1421901,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
3,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",1158284,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
4,rockstar,"Post Malone",1142397,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
5,"The Middle",Zedd,1028293,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
6,Narcos,Migos,1007706,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
7,"I Fall Apart","Post Malone",963598,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
8,"Ric Flair Drip (& Metro Boomin)",Offset,928549,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
9,Mine,Bazzi,923269,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
10,"All The Stars (with SZA)","Kendrick Lamar",909870,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
11,"Bartier Cardi (feat. 21 Savage)","Cardi B",853934,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
12,"No Limit",G-Eazy,853799,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
13,MotorSport,Migos,849402,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
14,Havana,"Camila Cabello",832913,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
15,"Never Be the Same","Camila Cabello",827247,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
16,"Walk It Talk It",Migos,807875,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
17,"LOVE. FEAT. ZACARI.","Kendrick Lamar",795025,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
18,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",748487,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
19,"Let You Down",NF,747187,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
20,"Him & I (with Halsey)",G-Eazy,721938,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
21,"Sky Walker (feat. Travis Scott)",Miguel,678741,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
22,"BBO (Bad Bitches Only)",Migos,665409,https://open.spotify.com/track/4BHzHISX21PYwGXiBEUQ70
23,"XO TOUR Llif3","Lil Uzi Vert",663080,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
24,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",660626,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
25,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",656627,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
26,"Candy Paint","Post Malone",646017,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
27,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",644289,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
28,Betrayed,"Lil Xan",640434,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
29,HUMBLE.,"Kendrick Lamar",637377,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
30,"Plain Jane","A$AP Ferg",625591,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
31,IDGAF,"Dua Lipa",624684,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
32,"Say Something","Justin Timberlake",606396,https://open.spotify.com/track/09ts3GnICqYEU5PkQCpJK3
33,"Notice Me",Migos,605165,https://open.spotify.com/track/3OnOomd79OjqSYHchCQ6ht
34,"Diplomatic Immunity",Drake,602454,https://open.spotify.com/track/5goGDc74vVREyN8al8CkPh
35,"Rewrite The Stars","Zac Efron",594284,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
36,"River (feat. Ed Sheeran)",Eminem,586298,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
37,"Sick Boy","The Chainsmokers",582089,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
38,Congratulations,"Post Malone",579241,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
39,"Bank Account","21 Savage",567988,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
40,"Young Dumb & Broke",Khalid,558941,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
