,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,2549499,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,Nonstop,Drake,2115151,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
3,"Lucid Dreams","Juice WRLD",1762909,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Don’t Matter To Me",Drake,1617263,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
5,SAD!,XXXTENTACION,1557459,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"I'm Upset",Drake,1339104,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Nice For What",Drake,1293497,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
8,"I Like It","Cardi B",1236242,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,Moonlight,XXXTENTACION,1226849,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
10,"God's Plan",Drake,1170988,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
11,"Mob Ties",Drake,1134815,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
12,"Taste (feat. Offset)",Tyga,1115949,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,"Yes Indeed","Lil Baby",1075289,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
14,"Better Now","Post Malone",1056912,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
15,"Girls Like You (feat. Cardi B)","Maroon 5",1053984,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,Emotionless,Drake,996181,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
17,Elevate,Drake,853174,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
18,"Can’t Take A Joke",Drake,831654,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
19,"Psycho (feat. Ty Dolla $ign)","Post Malone",794216,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
20,"Jocelyn Flores",XXXTENTACION,752139,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
21,changes,XXXTENTACION,736683,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
22,"All Girls Are The Same","Juice WRLD",712218,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
23,"8 Out Of 10",Drake,680186,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
24,"WIFI LIT",Future,663966,https://open.spotify.com/track/6WlxcZKpEV6Bwe9InoVhMp
25,"Look Alive (feat. Drake)","BlocBoy JB",655550,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
26,"Blue Tint",Drake,653191,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
