,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1620689,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",1559138,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"Lucid Dreams","Juice WRLD",1543978,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"I'm Upset",Drake,1374391,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
5,"Better Now","Post Malone",1342909,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,"God's Plan",Drake,1155624,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"This Is America","Childish Gambino",1154227,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
8,"Psycho (feat. Ty Dolla $ign)","Post Malone",1153413,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
9,"I Like It","Cardi B",1109012,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Look Alive (feat. Drake)","BlocBoy JB",1031074,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
11,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",834788,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
12,"All Girls Are The Same","Juice WRLD",829395,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
13,"rockstar (feat. 21 Savage)","Post Malone",827516,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
14,"Plug Walk","Rich The Kid",741615,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,"Ric Flair Drip (& Metro Boomin)",Offset,730345,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
16,"Ball For Me (feat. Nicki Minaj)","Post Malone",729532,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
17,Paranoid,"Post Malone",707102,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
18,"no tears left to cry","Ariana Grande",706272,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
19,"Walk It Talk It",Migos,703096,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
20,SAD!,XXXTENTACION,692183,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",682069,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
22,"Love Lies (with Normani)",Khalid,670151,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
23,OTW,Khalid,659058,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
24,"Back To You","Selena Gomez",647855,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
25,TATI,6ix9ine,644790,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
26,"Playinwitme (feat. Kehlani)",KYLE,638443,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
27,"Spoil My Night (feat. Swae Lee)","Post Malone",627013,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
28,"Taste (feat. Offset)",Tyga,625060,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
29,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",624298,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
30,"lovely (with Khalid)","Billie Eilish",616007,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
31,Stay,"Post Malone",615189,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
32,JAPAN,"Famous Dex",613660,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
33,"I Fall Apart","Post Malone",612056,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
34,"Rich & Sad","Post Malone",599017,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
35,"Call Out My Name","The Weeknd",594619,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
