,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Wow.,"Post Malone",2109305,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
2,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1716085,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
3,"Going Bad (feat. Drake)","Meek Mill",1352852,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
4,"SICKO MODE","Travis Scott",1324180,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
5,"thank u, next","Ariana Grande",1309507,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1224364,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1193291,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
8,"Without Me",Halsey,1148804,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,"Mo Bamba","Sheck Wes",1100344,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
10,"Leave Me Alone","Flipp Dinero",901917,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
11,"a lot","21 Savage",878222,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
12,"Lucid Dreams","Juice WRLD",809043,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
13,monster,"21 Savage",795994,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
14,"Wake Up in the Sky","Gucci Mane",782317,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
15,"Look Back At It","A Boogie Wit da Hoodie",763297,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
16,imagine,"Ariana Grande",732621,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
17,SAD!,XXXTENTACION,722535,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",695761,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
19,"whoa (mind in awe)",XXXTENTACION,683941,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
20,Money,"Cardi B",680827,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
21,"Better Now","Post Malone",675348,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
22,Happier,Marshmello,668788,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,Better,Khalid,627974,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
24,Moonlight,XXXTENTACION,619517,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
25,"Saturday Nights",Khalid,612111,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
26,"Armed And Dangerous","Juice WRLD",605184,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
27,Nonstop,Drake,604430,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
28,"all my friends","21 Savage",589732,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l
29,"when the party's over","Billie Eilish",588786,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
30,BAD!,XXXTENTACION,587237,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
31,"MIA (feat. Drake)","Bad Bunny",583592,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
32,"Eastside (with Halsey & Khalid)","benny blanco",569487,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
33,"High Hopes","Panic! At The Disco",558186,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
34,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,537245,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
35,"Taste (feat. Offset)",Tyga,533592,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
36,"I Like It","Cardi B",518252,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
37,"KIKA (feat. Tory Lanez)",6ix9ine,507239,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
38,"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine,494409,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
39,"Jocelyn Flores",XXXTENTACION,489649,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
40,"rockstar (feat. 21 Savage)","Post Malone",489410,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
41,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",487580,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
42,"Yes Indeed","Lil Baby",480860,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
43,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",479949,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
44,lovely,"Billie Eilish",475217,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
45,"Psycho (feat. Ty Dolla $ign)","Post Malone",465847,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
46,YOSEMITE,"Travis Scott",465489,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
47,"I Fall Apart","Post Malone",459351,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
