Position,Track Name,Artist,Streams,URL,Day Start Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
1,God's Plan,Drake,4324386,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,2018-01-23,0.0309,Scary Hours,0.758,198960,0.448,True,https://i.scdn.co/image/4d325967e5939d2eb62aaa5106178c12e6646a1f,8.67e-05,7,0.558,-9.441,1,33,0.103,77.176,4,0.373
2,Diplomatic Immunity,Drake,1258469,https://open.spotify.com/track/5goGDc74vVREyN8al8CkPh,2018-01-23,0.00534,Scary Hours,0.655,255840,0.839,True,https://i.scdn.co/image/4d325967e5939d2eb62aaa5106178c12e6646a1f,0.0,9,0.308,-5.076,0,11,0.443,74.867,4,0.55
3,rockstar,Post Malone,1176358,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2018-01-23,0.13,rockstar,0.577,218320,0.522,True,https://i.scdn.co/image/c9f894d676db96cae843252452bd5eb77562ce55,9.03e-05,5,0.142,-6.594,0,28,0.0984,159.772,4,0.119
4,Finesse (Remix) [feat. Cardi B],Bruno Mars,968266,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,2018-01-23,0.0185,Finesse (Remix) [feat. Cardi B],0.704,217289,0.859,False,https://i.scdn.co/image/056b3651a4483097848b5bf9f0b8903487a5b669,0.0,5,0.0215,-4.877,0,82,0.0996,105.115,4,0.926
5,No Limit,G-Eazy,928829,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW,2018-01-23,0.0117,The Beautiful & Damned,0.838,245387,0.771,True,https://i.scdn.co/image/96c1f575bedeb1912ce2bd6f626802678f7f0f23,0.0,1,0.0853,-3.791,1,72,0.244,175.957,4,0.405
6,I Fall Apart,Post Malone,922630,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2018-01-23,0.0689,Stoney (Deluxe),0.556,223347,0.538,True,https://i.scdn.co/image/642a2144f2355ff17a0e0b9bb60e5013bafb59d9,0.0,8,0.196,-5.408,0,87,0.0382,143.95,4,0.291
7,Havana,Camila Cabello,910711,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2018-01-23,0.184,Camila,0.765,217307,0.523,False,https://i.scdn.co/image/ac7215afbceb58c8a7f3713eaf9d00ff3d959779,3.56e-05,2,0.132,-4.333,1,88,0.03,104.988,4,0.394
8,All The Stars (with SZA),Kendrick Lamar,904769,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y,2018-01-23,0.0322,All The Stars (with SZA),0.715,235540,0.62,True,https://i.scdn.co/image/479b42d4773a1c7ef0f5f0d977ac19864188401c,0.0142,5,0.0881,-5.428,0,22,0.0507,96.812,4,0.456
9,Ric Flair Drip (& Metro Boomin),Offset,889881,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,2018-01-23,0.149,Without Warning,0.88,172800,0.428,True,https://i.scdn.co/image/6f99ad07ebbfdc7667c6c18567349179c7200d76,5.07e-05,9,0.114,-8.28,1,85,0.206,100.007,4,0.333
10,Bartier Cardi (feat. 21 Savage),Cardi B,839528,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT,2018-01-23,0.000704,Bartier Cardi (feat. 21 Savage),0.909,224613,0.546,True,https://i.scdn.co/image/38d5f0bdee40654647ac762734a0934c1035a67d,0.000823,8,0.36,-7.513,1,66,0.175,138.043,4,0.0986
11,Never Be the Same,Camila Cabello,816280,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,2018-01-23,0.181,Camila,0.637,226973,0.713,False,https://i.scdn.co/image/ac7215afbceb58c8a7f3713eaf9d00ff3d959779,0.000637,0,0.137,-4.333,1,80,0.0747,129.923,4,0.243
12,Him & I (with Halsey),G-Eazy,809165,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,2018-01-23,0.0534,The Beautiful & Damned,0.589,268867,0.731,True,https://i.scdn.co/image/96c1f575bedeb1912ce2bd6f626802678f7f0f23,0.0,2,0.308,-6.343,1,82,0.0868,87.908,4,0.191
