Position,Artist,Title,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,URL,Valence
1,Post Malone,Psycho (feat. Ty Dolla $ign),0.58,beerbongs & bentleys,0.739,221440,0.559,True,https://i.scdn.co/image/77eb7c17cafe5502589602bd799134625caeb6f3,0.0,8,0.112,-8.011,1,88,0.117,140.124,4,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,0.439
2,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),0.0908,Hottest Hip Hop 2018,0.93,179400,0.386,True,https://i.scdn.co/image/dc8f91ccdfc348c77922cee2f30c06e369187b36,0.0,1,0.141,-9.13,1,42,0.404,125.998,4,https://open.spotify.com/track/0wcNwiRtEvMNxcUc9pyuuh,0.383
3,Bella Thorne,B*TCH I’M BELLA THORNE,0.253,B*TCH I'M BELLA THORNE,0.639,194322,0.754,True,https://i.scdn.co/image/ca99554561e0a00c4b63baf54c340295cfc9ecc5,0.0,8,0.0904,-4.137,1,46,0.179,145.036,4,https://open.spotify.com/track/5HhFQfdaPyiC4mjt2TFxxP,0.743
4,Justin Timberlake,The Hard Stuff,0.152,Man of the Woods,0.501,195387,0.839,False,https://i.scdn.co/image/9f4f07d164fa636b6ebc377bd94820b3a827ed3a,0.000322,11,0.367,-7.472,1,50,0.0432,167.853,4,https://open.spotify.com/track/5ltBz3a5wh9IWwdhBaHu4j,0.489
5,Maroon 5,Girls Like You (feat. Cardi B),0.568,Girls Like You (feat. Cardi B),0.851,235545,0.541,True,https://i.scdn.co/image/b413991f48b307c7e5b43d42d059213af4ade047,0.0,0,0.13,-6.825,1,89,0.0505,124.959,4,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W,0.448
6,Zayn,Let Me,0.239,Icarus Falls,0.46,185373,0.566,False,https://i.scdn.co/image/3411b0bc6723aca599790359e10f4abda720aaa1,5.93e-06,9,0.0967,-5.637,1,65,0.0516,168.419,4,https://open.spotify.com/track/0aVsVsOYDSEEigiwTrIab9,0.19
7,DJ Snake,"Taki Taki (with Selena Gomez,Ozuna & Cardi B)",0.153,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.841,212500,0.798,True,https://i.scdn.co/image/413d80d826a9122a718d2e94898bd2c8e26b32da,3.33e-06,1,0.0618,-4.206,0,97,0.229,95.948,4,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,0.591
8,Kanye West and Lil Pump,I Love It,0.0114,I Love It,0.901,127947,0.522,True,https://i.scdn.co/image/e661a3ef9ac3b96693c1c2447908b7ed8f19dd30,0.0,2,0.259,-8.304,1,88,0.33,104.053,4,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,0.329
9,Greta Van Fleet,"Lover,Leaver",0.00206,Anthem Of The Peaceful Army,0.493,214987,0.924,False,https://i.scdn.co/image/41b8a538405e0fe74d4c8736f256f4124acba033,0.147,9,0.136,-3.875,1,65,0.0511,91.944,4,https://open.spotify.com/track/1OWSsdbAXFyPDo6khogqAW,0.58
10,Eminem,Fall,0.227,Kamikaze,0.83,262494,0.546,True,https://i.scdn.co/image/706834f25e3b96ddc4643277e11333f0a8ca16c0,0.0,1,0.112,-5.716,1,79,0.295,182.973,4,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato,0.535
