URL,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
https://open.spotify.com/track/15VIPlqNYLgN6T43kBAClE,0.184,pop a pill,0.688,180808.0,0.551,True,https://i.scdn.co/image/8f23487561c28f220873b58fbcafe69d65aa92f4,0.0,0.0,0.159,-6.299,0.0,67.0,0.229,162.118,4.0,0.558
https://open.spotify.com/track/3Jv1XgMPVjdN5xGfnRJ20s,0.0684,Excuse My French,0.734,303533.0,0.893,True,https://i.scdn.co/image/64117d4092c32d69a3078e8e783cc41dab5b102b,0.0,2.0,0.719,-1.847,1.0,60.0,0.125,138.05,4.0,0.595
https://open.spotify.com/track/4d6ihidBTDF0SqwdTDsAyW,0.134,Party Pack EP,0.836,215107.0,0.489,True,https://i.scdn.co/image/b9eb3e80704d6d6754dbfee458288c80c8a06844,0.0,0.0,0.0805,-10.484,1.0,59.0,0.306,147.055,4.0,0.732
https://open.spotify.com/track/23NWj2izXAJ4yL6Nah73wf,0.234,Pop Style,0.795,209453.0,0.482,True,https://i.scdn.co/image/e312b96e13cda45938b8ea29cc59d2c03b402ae6,3.99e-06,11.0,0.104,-8.995,1.0,58.0,0.22,132.985,4.0,0.0602
https://open.spotify.com/track/2vVaKhH1Pah7Vyp0bJ3HDf,0.219,My Pop Christmas,0.67,254253.0,0.806,False,https://i.scdn.co/image/0b629cc34833b5a3e891b71cf280ae804bd4249f,0.0,0.0,0.222,-4.823,1.0,63.0,0.0263,147.073,4.0,0.689
https://open.spotify.com/track/03Dpt8Z4Zww4NGJb8503zb,0.352,Pop Christmas Songs,0.626,228916.0,0.541,False,https://i.scdn.co/image/6c4da5dbc6d0fab738e05b3e05df2adba9581cdf,0.0,0.0,0.119,-7.615,1.0,62.0,0.0308,112.001,4.0,0.255
https://open.spotify.com/track/2yAVzRiEQooPEJ9SYx11L3,0.259,Europop,0.822,283748.0,0.969,False,https://i.scdn.co/image/7c750ad7ffeabdf9812f1d8a8a23bfe9ec148ccd,0.000162,7.0,0.39,-11.471,0.0,72.0,0.0582,128.007,4.0,0.765
https://open.spotify.com/track/6TGapnqEUkkSBanKyn5qYy,0.00092,Phantom Pop,0.54,162453.0,0.825,False,https://i.scdn.co/image/e1363419d85b472da98763bcfd376b18e7c053b7,0.0,2.0,0.0488,-4.935,1.0,62.0,0.0563,148.059,4.0,0.608
https://open.spotify.com/track/334S9SWZMjyRDN0wrHw7wk,0.173,Views,0.721,212947.0,0.461,True,https://i.scdn.co/image/90f080afbec29a0c58509875a6dd59b3c380e353,3.31e-06,4.0,0.105,-9.979,0.0,53.0,0.107,133.072,4.0,0.0559
https://open.spotify.com/track/2XFP42EK7jg4bGHYXRcxV3,0.858,A Love Letter To You 2,0.45,237317.0,0.69,True,https://i.scdn.co/image/3d5102d06032eb59b01d0275db7252d86031adac,0.0,0.0,0.0873,-8.218,1.0,60.0,0.179,119.657,5.0,0.232
https://open.spotify.com/track/7jWgkIrTDiB3vF8dm5AUyQ,0.0746,Kauai,0.544,309480.0,0.869,True,https://i.scdn.co/image/f21bfe8051a0888e28a466fc7e85a01574d740ae,1.27e-05,5.0,0.102,-8.363,0.0,57.0,0.0836,104.622,4.0,0.0647
https://open.spotify.com/track/3yLaeajp3jUl6Xs8MCjxl5,1.82e-05,Waking Lions,0.504,234837.0,0.973,False,https://i.scdn.co/image/269b5b2ecb722a1b1c145b168e45d2d6c67aad09,0.0427,6.0,0.183,-2.887,1.0,61.0,0.185,143.067,4.0,0.685
https://open.spotify.com/track/15BQ7vEDv2LJuh8TxWIhtd,0.0839,Lust For Life,0.495,283360.0,0.898,False,https://i.scdn.co/image/9672230e0a620811cd169208d343157a00b90d36,3.07e-06,0.0,0.55,-5.383,1.0,70.0,0.054,134.852,4.0,0.746
https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC,0.723,Pop Food,0.705,208026.0,0.373,False,https://i.scdn.co/image/f53fd7676911e27f0420a5e895b164771614bf73,0.81,7.0,0.289,-9.066,1.0,60.0,0.0384,120.046,4.0,0.551
https://open.spotify.com/track/6QemAIu5bX02Xc1AowTFBu,0.0197,Quality Control: Control The Streets Volume 1,0.942,266680.0,0.594,True,https://i.scdn.co/image/2a037baaf2b2fe67f354d32c667efb9e1610252b,0.0,7.0,0.245,-7.912,1.0,53.0,0.252,139.011,4.0,0.307
https://open.spotify.com/track/47StfXJOnGLhYfMEWgoTiX,0.0139,UP,0.641,262107.0,0.732,False,https://i.scdn.co/image/719daa32ba07dd2bec5162f644cd40322fc6a74a,2.61e-06,5.0,0.062,-7.57,1.0,59.0,0.0795,92.057,4.0,0.763
https://open.spotify.com/track/668DFatfdHGmq2s45NXiKD,0.228,Punken,0.697,166174.0,0.835,True,https://i.scdn.co/image/e9a14ac63046bc2b5378f460241696203fca1ae0,0.0,1.0,0.44,-6.808,0.0,49.0,0.0469,115.025,4.0,0.506
https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq,0.00952,THIS IS... ICONA POP,0.711,157153.0,0.906,True,https://i.scdn.co/image/1db67bb3fc2364ffec8dad9bc6a2666f1acc29b8,1.64e-05,8.0,0.153,-2.671,1.0,59.0,0.0284,125.916,4.0,0.824
https://open.spotify.com/track/0WOnTxy6mBHAo5fXkT4ccS,0.212,PASTELGORE,0.985,138715.0,0.438,True,https://i.scdn.co/image/4e54703f3ee06b8ecb87803fee08ef4627021ab1,5.41e-05,1.0,0.116,-11.004,1.0,52.0,0.0712,118.079,4.0,0.584
