,Position,Artist,Title,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,URL,Valence
0,1,Alex Kiskachi,On Land and Sea,0.74,Unfaithful Syncopations,0.747,260667,0.206,False,https://i.scdn.co/image/cd2e8a609beda057519e559b739b924ded074dae,0.0,4,0.118,-17.181,0,0,0.0528,126.951,4,https://open.spotify.com/track/0R81dN7CIDAoRqWjkPflD7,0.436
1,2,Ragged Jack,What We've Got Coming,0.133,Life Is A Wheel,0.568,287333,0.443,False,https://i.scdn.co/image/c5d434a0a6177ca7ee4d75c793c3a1a9c6d6ad01,1.45e-05,0,0.0764,-10.865,1,0,0.0295,140.074,4,https://open.spotify.com/track/1HRbMCrcBf0yWdHsfBIjrf,0.141
2,3,Kidzone,Dem Bones,0.163,Songs for Having Fun With My Friends,0.82,69147,0.382,False,https://i.scdn.co/image/bb81d6c718aefe8ac93fe1887b4bc23b5eef193a,0.168,2,0.077,-11.985,1,0,0.141,161.597,4,https://open.spotify.com/track/0XeuKYlH6mLZR24gJgjjE7,0.853
3,4,Armen Firman,Dressed For War,0.228,Dressed For War,0.488,265476,0.57,False,https://i.scdn.co/image/e44af6bc97a5712ada2a50e455d6d8472636431b,0.0,0,0.0896,-5.702,0,0,0.0328,164.031,4,https://open.spotify.com/track/1Mo1SNRohQlkpMdpX7womI,0.226
4,5,Dave Hancock,It Might As Well Be Spring,0.962,Out of Nowhere,0.402,359360,0.0367,False,https://i.scdn.co/image/2194a828debdbf36cc840779396ed65d6133cc90,0.897,7,0.0776,-16.049,1,0,0.0597,75.414,3,https://open.spotify.com/track/5UqHkqWbTKhGhuRDZJXeX8,0.229
5,6,Fools In Paradise,Warm Your Soul,0.59,The Other Side Of The Sky,0.675,293920,0.348,False,https://i.scdn.co/image/ddd7e084989949639510497c1c61591c86c69154,0.000947,0,0.0622,-11.829,1,0,0.0803,109.666,4,https://open.spotify.com/track/7xbDPQuuX2aayXZno6J6ai,0.71
6,7,Izzy Kieffer and Friends,Ana Hashem - The Riff,0.0102,Yehi Shalom - Let There Be Peace,0.457,252413,0.827,False,https://i.scdn.co/image/27bff031cc783a9aa5b93e70362041e073984e9e,0.136,11,0.85,-8.53,0,0,0.0455,126.897,4,https://open.spotify.com/track/2XASXobIEDCvhKHkjiEb3m,0.398
7,8,Ewan MacColl,Stronger Than Pain Is The Human Will To Survive...,0.955,The Body Blow,0.553,316213,0.459,False,https://i.scdn.co/image/a69275d63b70f355e82d464d35862071f9bc4879,0.00014,2,0.382,-12.121,0,0,0.868,74.275,4,https://open.spotify.com/track/3O2d7OIK4FTANICPTvpcvv,0.326
8,9,A Little Birdsong,Sing Goodbye,0.679,A Little Birdsong,0.36,37587,0.0475,False,https://i.scdn.co/image/fe5609beffcbf91218478fc0658c4c646aab8876,2.25e-05,5,0.127,-13.893,1,0,0.0868,210.322,3,https://open.spotify.com/track/4Hl9z3oGffz2FazVdDZE82,0.81
9,10,Texmachine,Skinny White Boy,0.173,Damn Right,0.707,133800,0.833,True,https://i.scdn.co/image/5f0c81864a55903d52b086af3c42dd8760ffe1b5,0.0,7,0.102,-7.137,1,0,0.0485,115.089,3,https://open.spotify.com/track/4HVzOc96oaKcxeDlKPBGmF,0.965
