,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Week Start Date,Week End Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
0,0,1,rockstar,Post Malone,10134471,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2017-12-29,2018-01-05,0.13,rockstar,0.577,218320,0.522,True,https://i.scdn.co/image/c9f894d676db96cae843252452bd5eb77562ce55,9.03e-05,5,0.142,-6.594,0,27,0.0984,159.772,4,0.119
1,1,2,No Limit,G-Eazy,7090891,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW,2017-12-29,2018-01-05,0.0117,The Beautiful & Damned,0.838,245387,0.771,True,https://i.scdn.co/image/96c1f575bedeb1912ce2bd6f626802678f7f0f23,0.0,1,0.0853,-3.791,1,72,0.244,175.957,4,0.405
2,2,3,I Fall Apart,Post Malone,6673907,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2017-12-29,2018-01-05,0.0689,Stoney (Deluxe),0.556,223347,0.538,True,https://i.scdn.co/image/642a2144f2355ff17a0e0b9bb60e5013bafb59d9,0.0,8,0.196,-5.408,0,86,0.0382,143.95,4,0.291
3,3,4,Bartier Cardi (feat. 21 Savage),Cardi B,6624198,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT,2017-12-29,2018-01-05,0.000704,Bartier Cardi (feat. 21 Savage),0.909,224613,0.546,True,https://i.scdn.co/image/38d5f0bdee40654647ac762734a0934c1035a67d,0.000823,8,0.36,-7.513,1,66,0.175,138.043,4,0.0986
4,4,5,Gucci Gang,Lil Pump,5975507,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,2017-12-29,2018-01-05,0.239,Lil Pump,0.936,124056,0.523,True,https://i.scdn.co/image/4d5883687a23b4b2b4a4c6ea940c84f11fb7fdee,0.0,5,0.117,-6.71,1,78,0.0597,119.889,4,0.699
5,5,6,Him & I (with Halsey),G-Eazy,5915005,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,2017-12-29,2018-01-05,0.0534,The Beautiful & Damned,0.589,268867,0.731,True,https://i.scdn.co/image/96c1f575bedeb1912ce2bd6f626802678f7f0f23,0.0,2,0.308,-6.343,1,80,0.0868,87.908,4,0.191
6,6,7,Ric Flair Drip (& Metro Boomin),Offset,5896347,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,2017-12-29,2018-01-05,0.149,Without Warning,0.88,172800,0.428,True,https://i.scdn.co/image/6f99ad07ebbfdc7667c6c18567349179c7200d76,5.07e-05,9,0.114,-8.28,1,84,0.206,100.007,4,0.333
7,7,8,Havana,Camila Cabello,5563102,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2017-12-29,2018-01-05,0.186,Havana,0.768,216897,0.517,False,https://i.scdn.co/image/c788ff80b2e655f6528d9a1683630c75b566c066,3.8e-05,7,0.104,-4.323,0,33,0.0312,104.992,4,0.418
8,8,9,Candy Paint,Post Malone,4960836,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf,2017-12-29,2018-01-05,0.633,Candy Paint,0.765,229573,0.688,True,https://i.scdn.co/image/87bb2563d30f26a2ed7ed741584451c132375066,0.0,4,0.0734,-5.566,1,14,0.0841,90.013,4,0.434
9,9,10,XO TOUR Llif3,Lil Uzi Vert,4904234,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2017-12-29,2018-01-05,0.00264,Luv Is Rage 2,0.732,182707,0.75,True,https://i.scdn.co/image/ead73f726959b82d78c41d28ca41edfef92b1c87,0.0,11,0.109,-6.366,0,85,0.231,155.096,4,0.401
10,10,11,Codeine Dreaming (feat. Lil Wayne),Kodak Black,4602782,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J,2017-12-29,2018-01-05,0.0652,Project Baby 2: All Grown Up (Deluxe),0.736,264532,0.604,True,https://i.scdn.co/image/8823604f48c7e5f3f5fa2e788005656b5cceaedd,6.43e-05,1,0.124,-7.357,0,77,0.222,155.007,4,0.574
11,11,12,Let You Down,NF,4601417,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-29,2018-01-05,0.33,Perception,0.659,212120,0.716,False,https://i.scdn.co/image/97f6161ae4533de136e1c76a7a1dd02445d03973,0.0,5,0.173,-5.673,0,30,0.111,148.015,4,0.437
12,12,13,Bank Account,21 Savage,4589775,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G,2017-12-29,2018-01-05,0.0151,Issa Album,0.884,220307,0.346,True,https://i.scdn.co/image/e0c1774d0cea9d3f5761877e54b6156d48a8e398,7.04e-06,8,0.0871,-8.228,0,82,0.351,75.016,4,0.376
